frame_nmr,car_id,car_bbox,car_class,license_plate_bbox,license_plate_bbox_score,license_number,license_number_score
0,1,[502.5289306640625 908.383056640625 969.1192626953125 1324.788330078125],car,[639.3338623046875 1186.209716796875 806.853759765625 1227.781005859375],0.4490339457988739,NA13NRU,0.5593763497053967
1,1,[500.567626953125 911.6105346679688 969.2999877929688 1328.635498046875],car,[634.7843017578125 1191.992431640625 810.0350341796875 1230.197021484375],0.29761624336242676,NA13NRU,0.30375409686961347
2,1,[496.6407470703125 916.0711669921875 964.8265380859375 1335.3897705078125],car,[627.04052734375 1199.061279296875 803.76318359375 1237.843017578125],0.2634318172931671,NA13NRU,0.8153110749156879
3,1,[492.5245056152344 921.749267578125 964.8540649414062 1341.494873046875],car,[627.8592529296875 1203.6004638671875 795.4925537109375 1246.5863037109375],0.3297736644744873,NA(JNFU,0.11922927495254869
4,1,[491.4833679199219 924.48779296875 964.52490234375 1345.7181396484375],car,[630.7074584960938 1205.087646484375 799.7389526367188 1248.023193359375],0.48062577843666077,NA13NRU,0.6317555705748401
5,1,[487.5941467285156 926.4806518554688 961.8460693359375 1352.51806640625],car,[626.58837890625 1211.922607421875 796.947021484375 1252.570068359375],0.7396343946456909,NA13NRU,0.6245107870056028
6,1,[484.5618591308594 931.03515625 960.6104125976562 1360.2615966796875],car,[618.7168579101562 1215.55029296875 790.7708129882812 1259.577392578125],0.4932975172996521,NA13NRU,0.1446474079534239
7,1,[482.7810974121094 931.630126953125 960.2752075195312 1364.8575439453125],car,[613.848388671875 1219.806884765625 796.6678466796875 1262.853271484375],0.5068691372871399,NA13NRU,0.3107723695268047
8,1,[478.6710510253906 936.7551879882812 958.3140258789062 1371.1697998046875],car,[617.849365234375 1227.8516845703125 791.69287109375 1273.5477294921875],0.5279863476753235,NA13NRU,0.3198445997520535
9,1,[474.7288818359375 944.150634765625 956.5090942382812 1378.2828369140625],car,[609.6627197265625 1234.915283203125 786.3538818359375 1279.215087890625],0.3918153643608093,NA13NRU,0.607225589655575
10,1,[472.7148742675781 948.6102905273438 954.23095703125 1381.444091796875],car,[608.58740234375 1238.83935546875 784.604248046875 1283.249267578125],0.6825344562530518,NA13NFU,0.7828391152864917
10,2,[1448.581298828125 802.1503295898438 1891.5052490234375 1192.5079345703125],car,[1610.4886474609375 1079.672119140625 1729.2564697265625 1120.067626953125],0.303472101688385,MVEIVSU,0.096296509425275
11,1,[469.30316162109375 955.20751953125 952.3594970703125 1387.383056640625],car,[610.090087890625 1245.844970703125 784.635498046875 1287.995361328125],0.6588208675384521,NA13NRU,0.2620494529369772
11,2,[1449.2933349609375 805.477783203125 1894.3458251953125 1198.15380859375],car,[1614.2423095703125 1082.763427734375 1731.3682861328125 1123.175537109375],0.35852673649787903,HI51VSU,0.2953582815578406
12,1,[464.79449462890625 959.5626831054688 950.5792236328125 1393.627685546875],car,[604.99365234375 1248.33447265625 783.4730224609375 1293.62158203125],0.44815805554389954,NA13NRV,0.21216564863949572
13,1,[463.85235595703125 961.7529296875 950.3063354492188 1397.469970703125],car,[605.873291015625 1254.5621337890625 783.18603515625 1299.6876220703125],0.6139373779296875,NA13NRV,0.48860894180449876
14,1,[460.93487548828125 968.0660400390625 947.8900146484375 1403.4735107421875],car,[616.35595703125 1262.927001953125 784.040771484375 1303.405029296875],0.41961172223091125,NA13NRU,0.42402481304886486
15,2,[1450.76318359375 818.1481323242188 1898.6741943359375 1215.51513671875],car,[1610.9033203125 1096.794189453125 1735.73583984375 1140.521240234375],0.5589301586151123,MVSISU,0.11440682171089801
15,1,[456.73394775390625 973.8851318359375 945.7799072265625 1410.6744384765625],car,[592.715087890625 1268.4638671875 777.722900390625 1310.7373046875],0.4434884190559387,N4JNRU,0.11963079197803174
16,1,[454.8578796386719 977.8614501953125 944.4072265625 1414.722412109375],car,[592.8585815429688 1270.6405029296875 775.8230590820312 1313.6673583984375],0.7338399887084961,NMJNRU,0.3455792781291483
17,1,[450.1689758300781 981.9901123046875 942.2385864257812 1420.7603759765625],car,[596.9971923828125 1276.2818603515625 781.5826416015625 1318.8079833984375],0.7698280215263367,NA13NRU,0.3928928709952752
17,2,[1451.337646484375 823.6277465820312 1901.4034423828125 1223.6119384765625],car,[1616.15869140625 1108.712890625 1737.37841796875 1147.885986328125],0.44167158007621765,HN51VSU,0.2004831534043536
18,1,[447.2283020019531 986.3770141601562 940.2275390625 1425.6676025390625],car,[588.89794921875 1278.3206787109375 776.1416015625 1324.5120849609375],0.7298830151557922,NA13NRU,0.3173844283371284
18,2,[1451.2454833984375 827.1259765625 1902.8721923828125 1228.424072265625],car,[1614.1593017578125 1114.1414794921875 1738.5303955078125 1154.8675537109375],0.44313594698905945,HI51VSV,0.018654894939868816
19,1,[445.2684020996094 990.6217651367188 938.723388671875 1429.0198974609375],car,[588.675537109375 1283.693359375 774.34423828125 1328.69287109375],0.7348704934120178,MA13NRU,0.7720920577709257
19,2,[1451.33935546875 828.1812133789062 1903.63232421875 1231.425537109375],car,[1617.6688232421875 1114.92236328125 1737.8348388671875 1155.721923828125],0.48279234766960144,HTSISU,0.10392900800235011
20,1,[442.27349853515625 993.096435546875 937.9158935546875 1431.1871337890625],car,[591.2242431640625 1293.001220703125 768.3541259765625 1339.6669921875],0.7947277426719666,NA13NRU,0.23426181827790088
21,2,[1451.5087890625 832.3536376953125 1908.0494384765625 1244.1307373046875],car,[1616.076171875 1122.142578125 1742.51611328125 1166.9990234375],0.6346802115440369,HI51VSU,0.07860040998790561
21,1,[439.3034362792969 1000.0650634765625 936.2833251953125 1434.989990234375],car,[584.810302734375 1300.71875 768.19921875 1347.14892578125],0.6308093070983887,NA13NRU,0.6628250164456964
22,2,[1451.3214111328125 834.190673828125 1909.0260009765625 1247.211181640625],car,[1617.00830078125 1124.41162109375 1742.738525390625 1170.24072265625],0.7526718378067017,NI51VSV,0.04172980221737914
22,1,[438.0426940917969 1001.7943725585938 936.6194458007812 1435.188720703125],car,[585.5753173828125 1306.338623046875 768.3858642578125 1347.759521484375],0.6162409782409668,NA13MRU,0.6160918962865144
23,1,[434.7918395996094 1009.1019287109375 935.3744506835938 1436.877197265625],car,[577.144775390625 1308.8477783203125 770.62109375 1355.4788818359375],0.7709637880325317,NA13NRU,0.4344537313278949
23,2,[1451.6676025390625 837.1900024414062 1913.20263671875 1252.9532470703125],car,[1617.019287109375 1132.0977783203125 1745.853271484375 1177.9710693359375],0.7076933979988098,MW51VSV,0.07079729603352136
24,1,[431.68560791015625 1014.7319946289062 934.8662109375 1437.17236328125],car,[583.123291015625 1317.45068359375 763.845947265625 1361.912109375],0.5471262335777283,NA13NRU,0.7444197674385382
24,2,[1451.93994140625 842.8250122070312 1914.89697265625 1258.83203125],car,[1615.27978515625 1136.838134765625 1746.62158203125 1181.1181640625],0.48142504692077637,MSV,0.17354659774335698
25,1,[429.6031494140625 1018.1333618164062 935.2197265625 1435.83447265625],car,[579.4472045898438 1322.5709228515625 761.9315795898438 1369.4996337890625],0.7670103311538696,NI13NRU,0.23133712782397073
25,2,[1452.20361328125 846.0873413085938 1915.244873046875 1261.962158203125],car,[1615.15283203125 1140.2552490234375 1749.091796875 1184.7689208984375],0.5788338780403137,MUSISV,0.09539142108975263
26,1,[426.3230285644531 1021.9857788085938 933.9312744140625 1436.1707763671875],car,[576.8726806640625 1333.288818359375 755.2257080078125 1375.215576171875],0.5254822373390198,NA13NRU,0.8412453530822935
26,2,[1452.6004638671875 847.799560546875 1917.1207275390625 1268.7138671875],car,[1622.0023193359375 1147.06396484375 1746.1170654296875 1187.6640625],0.37964653968811035,MIIYSV,0.11330633308895773
27,1,[424.1785888671875 1029.072998046875 933.027099609375 1436.5189208984375],car,[576.967041015625 1338.87548828125 753.0205078125 1379.813232421875],0.7123779654502869,NA13NRU,0.359876829313654
28,1,[422.3065490722656 1033.654052734375 932.338134765625 1434.8194580078125],car,[567.8718872070312 1339.57177734375 752.0579223632812 1381.489013671875],0.40446433424949646,NAIJNRIJ,0.33360782356036534
29,2,[1455.06494140625 860.6281127929688 1920.1109619140625 1283.2030029296875],car,[1631.623291015625 1159.848876953125 1752.265380859375 1201.899658203125],0.42052754759788513,MSIVSV,0.1579053894393033
29,1,[418.2726135253906 1039.7193603515625 931.6339111328125 1435.2318115234375],car,[581.487548828125 1347.418701171875 753.8424072265625 1388.696044921875],0.33308011293411255,WA13NRU,0.14913196208349835
30,2,[1455.7987060546875 863.5174560546875 1922.7159423828125 1289.4234619140625],car,[1626.185546875 1164.893798828125 1754.8369140625 1209.6552734375],0.658503532409668,MSISU,0.1284571611403124
31,2,[1455.94384765625 866.172607421875 1923.2646484375 1292.6474609375],car,[1627.3009033203125 1168.533203125 1756.8890380859375 1211.677734375],0.5669125318527222,MSIVSV,0.0689601843695995
32,2,[1456.5791015625 872.0506591796875 1925.275390625 1298.726806640625],car,[1631.845458984375 1175.6046142578125 1757.273193359375 1217.0765380859375],0.5230811238288879,ISITSU,0.20018516764516872
33,2,[1456.3170166015625 877.1109619140625 1929.386962890625 1304.7032470703125],car,[1635.130859375 1180.185791015625 1757.4775390625 1222.329833984375],0.7554957866668701,MISU,0.13365159928798676
34,2,[1456.387939453125 878.7620239257812 1930.9228515625 1307.52197265625],car,[1637.7640380859375 1183.2210693359375 1753.5589599609375 1224.1221923828125],0.7844303250312805,USU,0.05970210652705981
35,2,[1456.365234375 881.6055908203125 1932.3795166015625 1313.1422119140625],car,[1638.306396484375 1187.1187744140625 1761.925537109375 1231.8592529296875],0.7472587823867798,LBSW,0.05866214632987976
36,2,[1457.6715087890625 886.8416137695312 1934.373046875 1318.48583984375],car,[1634.612060546875 1193.1220703125 1763.901611328125 1237.27734375],0.8185749650001526,HAZL,0.022785896435379982
37,2,[1458.1075439453125 890.1285400390625 1935.4920654296875 1322.1097412109375],car,[1632.52685546875 1196.17138671875 1764.833984375 1242.1142578125],0.8071805834770203,DEZL,0.025690264999866486
38,2,[1458.155517578125 894.2290649414062 1939.4239501953125 1328.4559326171875],car,[1632.08056640625 1199.946044921875 1770.203857421875 1246.840576171875],0.636250913143158,LZW,0.24635232657527098
39,2,[1458.427734375 898.8190307617188 1942.6669921875 1336.0281982421875],car,[1639.5369873046875 1208.062744140625 1766.5003662109375 1251.705322265625],0.36058446764945984,None,0.0
40,2,[1458.531494140625 901.136962890625 1943.8255615234375 1339.99267578125],car,[1640.8955078125 1211.488037109375 1764.97021484375 1252.991943359375],0.5030986666679382,LASU,0.08297645300626755
42,2,[1459.0067138671875 908.2969360351562 1950.9444580078125 1351.6837158203125],car,[1632.915771484375 1218.827392578125 1773.177978515625 1267.23779296875],0.5313209891319275,CT51FSU,0.11381862707024916
43,2,[1458.9813232421875 910.16796875 1952.355712890625 1355.2108154296875],car,[1632.0693359375 1221.939208984375 1772.86328125 1270.402587890625],0.5558004379272461,ISIFSU,0.10504652452094947
45,2,[1460.4171142578125 918.5801391601562 1957.262451171875 1367.16162109375],car,[1644.046142578125 1239.7890625 1777.978759765625 1283.73828125],0.5138763189315796,LTLASV,0.040579424162767545
46,2,[1460.791015625 921.6502685546875 1958.9256591796875 1371.5379638671875],car,[1643.500244140625 1243.6165771484375 1776.749755859375 1285.6788330078125],0.661079466342926,LNSISV,0.09891434332479296
47,2,[1461.6082763671875 924.9185791015625 1961.4481201171875 1378.702880859375],car,[1647.28076171875 1248.538818359375 1779.625 1290.936279296875],0.6063762903213501,MWBVSV,0.056654559686391597
48,2,[1462.33251953125 930.5326538085938 1963.2518310546875 1384.3768310546875],car,[1644.982421875 1253.120361328125 1783.09716796875 1298.8349609375],0.7779994010925293,NV51NSU,0.022164655976820234
